86,LHC,SCL,YAZ,NBS,FKB,A320,->,LHC,FKB,NBS,YAZ,SCL,LHC,17477.39
87,ANR,SAY,OSN,PBD,JPR,A320,->,ANR,OSN,PBD,SAY,JPR,ANR,18096.03
88,BOH,SFS,WAL,WEL,CWB,A320,->,BOH,SFS,WEL,CWB,WAL,BOH,18534.0
89,MKO,LKK,CER,JYV,KIF,A320,->,MKO,LKK,JYV,CER,KIF,MKO,19557.59
90,HTL,E63,HLG,ASD,AUF,A320,->,HTL,HLG,AUF,ASD,E63,HTL,19953.46
91,PDV,SGD,RCS,ISB,PKN,A320,->,PDV,PKN,ISB,SGD,RCS,PDV,2884.42
92,IWS,BLT,KVL,BRN,CBO,A320,->,IWS,BRN,CBO,BLT,KVL,IWS,27513.45
93,RMS,BLD,ABE,AMM,LTX,A320,->,RMS,AMM,ABE,BLD,LTX,RMS,31205.64
94,TRC,RES,CEF,TLU,TPL,A320,->,TRC,TPL,CEF,TLU,RES,TRC,4153.23
95,GKE,QOT,IXL,CMR,BHD,A320,->,GKE,BHD,QOT,IXL,CMR,GKE,7607.04
96,MGQ,YSY,JRO,OLC,DIW,A321,->,MGQ,DIW,JRO,OLC,YSY,MGQ,10384.36
97,COI,KYS,BMX,ONQ,LED,A321,->,COI,BMX,LED,ONQ,KYS,COI,13855.38
98,GAJ,COH,BIQ,ECG,DAW,A321,->,GAJ,COH,BIQ,DAW,ECG,GAJ,14277.93
99,AXJ,GGT,SDV,YOC,ACC,A321,->,AXJ,YOC,GGT,ACC,SDV,AXJ,14543.53
100,AGS,QRW,MHV,YXZ,PSE,A321,->,AGS,MHV,YXZ,QRW,PSE,AGS,15185.55
101,CSO,WMP,UTN,OSN,MLC,A321,->,CSO,MLC,OSN,WMP,UTN,CSO,16873.83
102,BXH,K03,ZSN,PLL,HHN,A321,->,BXH,ZSN,HHN,PLL,K03,BXH,17601.26
103,GPT,REI,YNS,XCD,CMX,A321,->,GPT,XCD,YNS,CMX,REI,GPT,18173.96
104,WSJ,MTY,1G4,PID,GTN,A321,->,WSJ,GTN,MTY,PID,1G4,WSJ,18229.19
105,JMK,CFB,AAO,ELY,CKV,A321,->,JMK,CFB,AAO,CKV,ELY,JMK,19972.3
106,WTE,MNL,19A,QQW,DAW,A321,->,WTE,19A,DAW,QQW,MNL,WTE,24346.27
107,SCW,BSX,CSK,PAS,BZL,A321,->,SCW,PAS,CSK,BSX,BZL,SCW,3375.75
108,NGZ,KAT,CVO,BZZ,NQT,A321,->,NGZ,KAT,CVO,NQT,BZZ,NGZ,36980.61
109,XGB,KUT,ADF,LOK,GDA,A321,->,XGB,LOK,GDA,ADF,KUT,XGB,4807.9
110,WHF,AAH,SVX,IBE,KON,A321,->,WHF,KON,SVX,AAH,IBE,WHF,5485.35
111,GME,STR,CWI,UAK,C89,A321,->,GME,STR,UAK,C89,CWI,GME,5574.84
112,FIE,AXD,SOO,MQH,PUU,A321,->,FIE,AXD,PUU,MQH,SOO,FIE,6406.37
113,HUX,DYU,JOK,ODB,NAQ,A321,->,HUX,JOK,ODB,DYU,NAQ,HUX,6958.65
114,GSP,UIK,PZB,FUT,CEE,A321,->,GSP,FUT,UIK,PZB,CEE,GSP,9088.35
115,QPZ,TED,OMO,TSS,BBM,A330,->,QPZ,BBM,TED,TSS,OMO,QPZ,11161.45
116,ESH,KOI,GER,QXB,IAG,A330,->,ESH,KOI,GER,IAG,QXB,ESH,11664.59
117,MTM,FWM,VCV,C02,TIA,A330,->,MTM,TIA,FWM,C02,VCV,MTM,13944.02
118,GUS,GHB,NIP,38W,TML,A330,->,GUS,38W,TML,GHB,NIP,GUS,15451.37
119,GZO,QNC,KKC,YPO,VOK,A330,->,GZO,KKC,QNC,YPO,VOK,GZO,16016.62
120,NCA,SJU,PTU,BMX,KZB,A330,->,NCA,SJU,BMX,PTU,KZB,NCA,16412.34
121,BBN,LMO,MEM,RKS,DEZ,A330,->,BBN,DEZ,LMO,MEM,RKS,BBN,17096.46
122,COU,LIK,SOY,MZR,RNL,A330,->,COU,RNL,LIK,MZR,SOY,COU,17836.49
123,PEU,QPZ,ERN,BTT,RSI,A330,->,PEU,RSI,ERN,QPZ,BTT,PEU,18513.13
124,MKK,ATP,BYN,AEP,LBE,A330,->,MKK,AEP,LBE,BYN,ATP,MKK,18731.61
125,FEL,LNV,YOO,MZT,RMP,A330,->,FEL,RMP,LNV,MZT,YOO,FEL,19932.85
126,YHF,NY9,DLC,DLF,MHZ,A330,->,YHF,NY9,DLF,DLC,MHZ,YHF,21201.93
127,REC,KOZ,YCB,MTL,GUW,A330,->,REC,YCB,KOZ,MTL,GUW,REC,21275.36
128,YRG,HTL,SJI,CUA,YIF,A330,->,YRG,SJI,CUA,HTL,YIF,YRG,5928.89
129,GDN,YCS,TIY,KNO,PAN,A330,->,GDN,KNO,YCS,PAN,TIY,GDN,6507.65
130,CWC,CDR,LWN,CMF,BOO,A330,->,CWC,CMF,BOO,CDR,LWN,CWC,8280.06
131,TNJ,YSF,GLQ,QPJ,MQT,A330,->,TNJ,QPJ,GLQ,MQT,YSF,TNJ,9352.23
132,NUW,FGI,URS,PYJ,ABA,A330,->,NUW,FGI,ABA,URS,PYJ,NUW,9940.31
133,OKO,PSH,ALY,LHW,PPC,DC8,->,OKO,LHW,ALY,PSH,PPC,OKO,10553.69
134,L52,FAF,PWE,CSK,FLR,DC8,->,L52,FAF,CSK,FLR,PWE,L52,13520.84
135,QQW,N69,CVF,YPL,NXP,DC8,->,QQW,YPL,NXP,N69,CVF,QQW,17967.44
136,PYM,OXC,NAQ,SCE,HDO,DC8,->,PYM,OXC,SCE,HDO,NAQ,PYM,7269.26
137,VAK,LPD,WUX,BIL,OZC,MD11,->,VAK,BIL,LPD,OZC,WUX,VAK,10395.24
138,LSY,JHS,LNV,BEH,LIO,MD11,->,LSY,LIO,BEH,JHS,LNV,LSY,10607.9
139,TCE,GEN,HNA,NZJ,STL,MD11,->,TCE,GEN,STL,NZJ,HNA,TCE,11159.02
140,MGT,DXR,LKP,ORN,BHO,MD11,->,MGT,ORN,LKP,DXR,BHO,MGT,11803.4
141,PFR,FZI,XBK,CJL,ZPC,MD11,->,PFR,CJL,XBK,FZI,ZPC,PFR,12040.49
142,AVO,SMR,MUK,XQU,NKG,MD11,->,AVO,XQU,MUK,NKG,SMR,AVO,12624.21
143,BLE,HGU,SPZ,SXR,SNV,MD11,->,BLE,SNV,SPZ,SXR,HGU,BLE,12641.72
144,OQU,SGJ,OUL,RJA,COL,MD11,->,OQU,SGJ,RJA,OUL,COL,OQU,15719.34
145,OCJ,NPL,FTU,NCY,AEP,MD11,->,OCJ,NCY,FTU,AEP,NPL,OCJ,16320.99
146,FOC,TCS,MVQ,ASI,VEY,MD11,->,FOC,MVQ,ASI,VEY,TCS,FOC,19417.08
147,RTG,HCN,BSX,FYV,RTB,MD11,->,RTG,BSX,HCN,RTB,FYV,RTG,2944.13
148,LER,SLH,ZFV,AGN,MZK,MD11,->,LER,MZK,AGN,ZFV,SLH,LER,20158.47
